alpha,gamma,seed,step,profit,waste_pct,fill_rate_pct
0.5,0.8,1,5000,170.09278279923308,5.594129640243158,91.78626567881385
0.5,0.8,1,10000,171.26609148178582,5.632096469726425,91.78900633090633
0.5,0.8,1,15000,170.78916735141058,5.311684764694249,91.8429058220586
0.5,0.8,1,20000,171.42358258011504,5.574192578392957,91.79357408439381
0.5,0.8,1,25000,170.06025746370858,5.4765532419163705,91.80819089555374
0.5,0.8,1,30000,169.93152560942207,5.494805133750176,91.81549930113371
0.5,0.8,1,35000,170.59127636264037,5.54072598078839,91.80453669276376
0.5,0.8,1,40000,170.29580936729664,5.460975563874414,91.8164128518312
0.5,0.8,1,45000,170.75116406463982,5.362404797544742,91.82828901089866
0.5,0.8,1,50000,171.1774171459874,5.455622525834752,91.84838712624357
0.5,0.8,1,55000,170.514927417146,5.384238864415076,91.8200670546212
0.5,0.8,1,60000,170.6193508627773,5.441920855051465,91.80727734485626
0.5,0.8,1,65000,170.7189811010682,5.289774546550393,91.86848524158849
0.5,0.8,1,70000,170.96069569980827,5.180067672645359,91.89954596530335
0.5,0.8,1,75000,171.43693508627774,5.4799157514668275,91.82737546020117
0.5,0.8,1,80000,170.42762256915913,5.451739776811758,91.79083343230133
0.5,0.8,1,85000,170.00513557929335,5.262215858242348,91.8666581401935
0.5,0.8,1,90000,170.33723637359628,5.198318440598726,91.87579364716845
0.5,0.8,1,95000,170.9100246507806,5.549343681584561,91.82463480810867
0.5,0.8,1,100000,170.50499863051218,5.5524750242004455,91.80088248997377
0.5,0.8,1,105000,171.66769378252533,5.6605367653271,91.80270959136877
0.5,0.8,2,5000,170.30197206244864,5.777665317139001,91.98997145157747
0.5,0.8,2,10000,170.8086825527253,5.631754728309817,92.0357221286875
0.5,0.8,2,15000,170.58853738701725,5.51737734467414,92.08330283288193
0.5,0.8,2,20000,170.83812654067378,5.414294036947248,92.10068809018374
0.5,0.8,2,25000,170.74123527800603,5.533656192514172,92.09336798184613
0.5,0.8,2,30000,170.23384004382362,5.3471210340775555,92.12539345582314
0.5,0.8,2,35000,170.3725006847439,5.446637420033631,92.09428299538833
0.5,0.8,2,40000,170.5471103807176,5.4367636835083895,92.09611302247274
0.5,0.8,2,45000,170.47281566694056,5.7348476329697515,92.04212722348291
0.5,0.8,2,50000,169.686729663106,5.455536345185297,92.06225752141131
0.5,0.8,2,55000,170.58545603944125,5.473702002986168,92.10251811726813
0.5,0.8,2,60000,171.31778964667214,5.526454132402088,92.07964277871312
0.5,0.8,2,65000,170.15338263489454,5.219405191161656,92.11441329331674
0.5,0.8,2,70000,171.8501780334155,5.477677104361297,92.11075323914794
0.5,0.8,2,75000,170.60428649685016,5.371877525703438,92.12813849644975
0.5,0.8,2,80000,170.87784168720898,5.440081150381801,92.11624332040114
0.5,0.8,2,85000,171.20549164612436,5.375970230600086,92.13454359124515
0.5,0.8,2,90000,171.40269789098878,5.525676043514582,92.09336798184613
0.5,0.8,2,95000,171.42700629964392,5.33950007990449,92.13454359124515
0.5,0.8,2,100000,171.22603396329774,5.291721925938467,92.12905350999195
0.5,0.8,2,105000,170.92543138866063,5.3223212018023265,92.09062294121952
0.5,0.8,3,5000,170.74328950972335,5.527505899829822,91.80592991913747
0.5,0.8,3,10000,171.18871542043277,5.442285628303271,91.86714788249806
0.5,0.8,3,15000,171.9563133388113,5.495083939616115,91.8607519758783
0.5,0.8,3,20000,171.0757326759792,5.366032693085892,91.87811229384623
0.5,0.8,3,25000,170.93878389482333,5.660660801637451,91.80410251724611
0.5,0.8,3,30000,171.4906874828814,5.459826842268535,91.88724930330304
0.5,0.8,3,35000,170.94186524239933,5.42325677671876,91.841564256019
0.5,0.8,3,40000,171.30375239660367,5.53133514986376,91.86349307871534
0.5,0.8,3,45000,171.26540673788003,5.174135916475067,91.94572616382658
0.5,0.8,3,50000,171.5139687756779,5.305019813816019,91.91831513545617
0.5,0.8,3,55000,172.2230210901123,5.4340772507970545,91.87080268628078
0.5,0.8,3,60000,171.1349630238291,5.210925130061072,91.8927315089771
0.5,0.8,3,65000,171.57799233086826,5.42817121207848,91.91283292978208
0.5,0.8,3,70000,171.50472473294988,5.406244122625541,91.907350724108
0.5,0.8,3,75000,171.405094494659,5.250419091748131,91.92196993923889
0.5,0.8,3,80000,171.45953163516845,5.248982974235347,91.93202064964137
0.5,0.8,3,85000,170.81005204053685,5.150809439850652,91.91374663072777
0.5,0.8,3,90000,170.45090386195562,5.05925422705314,91.9356754534241
0.5,0.8,3,95000,171.50164338537388,5.251163053509879,91.92471104207593
0.5,0.8,3,100000,171.0877156943303,5.147758872602159,91.93750285531546
0.5,0.8,3,105000,171.454738427828,5.179628303238211,91.92653844396729
0.5,0.95,1,5000,171.01855655984662,5.671327817585905,91.75429140440149
0.5,0.95,1,10000,171.0788140235552,5.419799203966992,91.8209806053187
0.5,0.95,1,15000,171.21199671322924,5.406676954345289,91.83285676438614
0.5,0.95,1,20000,171.01821418789373,5.440999397953041,91.82372125741118
0.5,0.95,1,25000,171.13222404820598,5.504630282517745,91.81458575043622
0.5,0.95,1,30000,170.84257737606134,5.314851261382577,91.85021422763856
0.5,0.95,1,35000,170.31498219665846,5.2873021853805575,91.84838712624357
0.5,0.95,1,40000,170.64468638729116,5.318317498281528,91.85204132903355
0.5,0.95,1,45000,170.93467543138865,5.332517531886855,91.86939879228598
0.5,0.95,1,50000,170.6659134483703,5.341995010120981,91.8429058220586
0.5,0.95,1,55000,171.02334976718709,5.227495476477683,91.8648310387985
0.5,0.95,1,60000,170.6929608326486,5.394749223675543,91.83925161926861
0.5,0.95,1,65000,171.3715420432758,5.53180293363152,91.83651096717612
0.5,0.95,1,70000,171.38284031772116,5.433167152666729,91.83651096717612
0.5,0.95,1,75000,170.91892632155574,5.559471117250712,91.80270959136877
0.5,0.95,1,80000,171.03909887702,5.4214714347523465,91.85478198112604
0.5,0.95,1,85000,170.97267871815941,5.39289477645642,91.85660908252103
0.5,0.95,1,90000,171.5701177759518,5.481177842127035,91.83651096717612
0.5,0.95,1,95000,171.7543138866064,5.457657081601565,91.8438193727561
0.5,0.95,1,100000,171.75397151465353,5.588323690735592,91.82554835880617
0.5,0.95,1,105000,171.08634620651875,5.520255663126234,91.8209806053187
